TeamNM,Date,Opponent,Result,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame
Arizona St,08/31/2023,Southern Utah,W 24-21,3,3,17,1,1,1,1,,,,,
Arizona St,09/09/2023,Oklahoma St.,L 15-27,1,1,7,1,,,,,,,,
Arizona St,09/16/2023,Fresno St.,L 0-29,,1,,,,,,,,1,,
Arizona St,09/23/2023,Southern California,L 28-42,3,3,13,1,,2,2,,,,,
Arizona St,09/30/2023,@ California,L 21-24,4,4,21,2,,2,2,,,,,
Arizona St,10/07/2023,Colorado,L 24-27,4,4,24,2,1,1,1,,,,,
Arizona St,10/21/2023,@ Washington,L 7-15,1,3,7,1,,,1,,1,,,
Arizona St,10/28/2023,Washington St.,W 38-27,5,5,35,5/,,,,,,,,
Arizona St,11/04/2023,@ Utah,L 3-55,1,1,3,,,1,1,,,,,
Arizona St,11/11/2023,@ UCLA,W 17-7,2,2,10,1,,1,1,,,,,
Arizona St,11/18/2023,Oregon,L 13-49,3,3,13,1,,2,2,,,,,
Arizona St,11/25/2023,Arizona,L 23-59,2,2,15,2,,,,,,,,
