TeamNM,Date,Opponent,Result,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec
BYU,09/02/2023,Sam Houston,W 14-0,20,145,20.00,7.25,,145.00,18
BYU,09/09/2023,Southern Utah,W 41-16,22,348,22.00,15.82,4,348.00,65
BYU,09/16/2023,@ Arkansas,W 38-31,14,204,14.00,14.57,3,204.00,37
BYU,09/23/2023,@ Kansas,L 27-38,30,357,30.00,11.90,2,357.00,50
BYU,09/29/2023,Cincinnati,W 35-27,14,225,14.00,16.07,2,225.00,59
BYU,10/14/2023,@ TCU,L 11-44,15,152,15.00,10.13,,152.00,42
BYU,10/21/2023,Texas Tech,W 27-14,15,127,15.00,8.47,2,127.00,32
BYU,10/28/2023,@ Texas,L 6-35,25,197,25.00,7.88,,197.00,47
BYU,11/04/2023,@ West Virginia,L 7-37,24,210,24.00,8.75,,210.00,23
BYU,11/11/2023,Iowa St.,L 13-45,11,130,11.00,11.82,2,130.00,30
BYU,11/18/2023,Oklahoma,L 24-31,15,173,15.00,11.53,2,173.00,29
BYU,11/25/2023,@ Oklahoma St.,L 34-40 (2 OT),15,197,15.00,13.13,,197.00,50
