TeamNM,Date,Opponent,Result,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef
Colorado,09/02/2023,@ TCU,W 45-42,,3,2,,5.00
Colorado,09/09/2023,Nebraska,W 36-14,4,3,1,,4.00
Colorado,09/16/2023,Colorado St.,W 43-35 (1 OT),80,3,3,1/,6.00
Colorado,09/23/2023,@ Oregon,L 6-42,,2,1,,3.00
Colorado,09/30/2023,Southern California,L 41-48,,2,1,,3.00
Colorado,10/07/2023,@ Arizona St.,W 27-24,,5,,,5.00
Colorado,10/13/2023,Stanford,L 43-46 (2 OT),,4,,,4.00
Colorado,10/28/2023,@ UCLA,L 16-28,-10,1,2,,3.00
Colorado,11/04/2023,Oregon St.,L 19-26,,5,,,5.00
Colorado,11/11/2023,Arizona,L 31-34,,5,,,5.00
Colorado,11/17/2023,@ Washington St.,L 14-56,,4,,,4.00
Colorado,11/25/2023,@ Utah,L 17-23,,1,,,1.00
