TeamNM,Date,Opponent,Result,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays
Oklahoma St.,09/02/2023,Central Ark.,W 27-13,,304,,25,,25,503,,64
Oklahoma St.,09/09/2023,@ Arizona St.,W 27-15,,191,1,,13,,317,,55
Oklahoma St.,09/16/2023,South Alabama,L 7-33,,114,,,,42,250,,48
Oklahoma St.,09/23/2023,@ Iowa St.,L 27-34,,278,,,,,409,,47
Oklahoma St.,10/06/2023,Kansas St.,W 29-21,48,238,3,,,48,508,,65
Oklahoma St.,10/14/2023,Kansas,W 39-32,25,336,2,,,61,640,,72
Oklahoma St.,10/21/2023,@ West Virginia,W 48-34,16,210,1,,-2,68,573,,63
Oklahoma St.,10/28/2023,Cincinnati,W 45-13,16,286,1,,-4,53,666,,59
Oklahoma St.,11/04/2023,Oklahoma,W 27-24,26,334,1,,14,18,539,,69
Oklahoma St.,11/11/2023,@ UCF,L 3-45,,225,,,,104,381,,47
Oklahoma St.,11/18/2023,@ Houston,W 43-30,35,348,2,,12,75,623,,71
Oklahoma St.,11/25/2023,BYU,W 40-34 (2 OT),,321,,,,50,553,,76
Oklahoma St.,12/02/2023,"Texas @Arlington, TX",L 21-49,27,250,1,,8,89,405,,47
Oklahoma St.,12/27/2023,"Texas A&M @Houston, TX",W 31-23,1,436,1,,1,18,590,,67
