TeamNM,Date,Opponent,Result,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points
UCF,08/31/2023,Kent St.,W 56-6,8,8,8,,,,,,,,,,56
UCF,09/09/2023,@ Boise St.,W 18-16,1,,,,,,,1,,,4,,18
UCF,09/16/2023,Villanova,W 48-14,6,6,6,,,,,,,,2,,48
UCF,09/23/2023,@ Kansas St.,L 31-44,4,4,4,,,,,,,,1,,31
UCF,09/30/2023,Baylor,L 35-36,5,5,5,,,,,,,,,,35
UCF,10/07/2023,@ Kansas,L 22-51,3,2,2,,1/,,,1,,1/,,,22
UCF,10/21/2023,@ Oklahoma,L 29-31,3,2,2,,1/,,,,,,3,,29
UCF,10/28/2023,West Virginia,L 28-41,4,4,4,,,,,,,,,,28
UCF,11/04/2023,@ Cincinnati,W 28-26,4,4,4,,,,,,,,,,28
UCF,11/11/2023,Oklahoma St.,W 45-3,6,6,6,,,,,,,,1,,45
UCF,11/18/2023,@ Texas Tech,L 23-24,3,2,3,,,,,,,,1,,23
UCF,11/25/2023,Houston,W 27-13,4,3,4,,,,,,,,,,27
UCF,12/22/2023,"Georgia Tech @Tampa, FL",L 17-30,2,2,2,,,,,,,,1,,17
