TeamNM,Date,Opponent,Result,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long
Utah,08/31/2023,Florida,W 24-11,30,105,137,32,3.50,2,105.00,27
Utah,09/09/2023,@ Baylor,W 20-13,47,224,236,12,4.77,2,224.00,44
Utah,09/16/2023,Weber St.,W 31-7,52,231,250,19,4.44,2,231.00,21
Utah,09/23/2023,UCLA,W 14-7,48,102,165,63,2.13,,102.00,16
Utah,09/29/2023,@ Oregon St.,L 7-21,32,57,102,45,1.78,,57.00,20
Utah,10/14/2023,California,W 34-14,53,317,321,4,5.98,4,317.00,72/
Utah,10/21/2023,@ Southern California,W 34-32,47,247,275,28,5.26,1,247.00,26
Utah,10/28/2023,Oregon,L 6-35,36,99,121,22,2.75,,99.00,14
Utah,11/04/2023,Arizona St.,W 55-3,49,352,370,18,7.18,3,352.00,59
Utah,11/11/2023,@ Washington,L 28-35,27,115,127,12,4.26,2,115.00,15
Utah,11/18/2023,@ Arizona,L 18-42,37,118,152,34,3.19,,118.00,16
Utah,11/25/2023,Colorado,W 23-17,53,268,280,12,5.06,2,268.00,30
Utah,12/23/2023,"Northwestern @Las Vegas, NV",L 7-14,51,138,185,47,2.71,1,138.00,25
